"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.0695495605469","","","","","","","","","","90.6268005371094","","","","","","","","","","","","","96.3220672607422","","",
"Africa Eastern and Southern","AFE","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","1.60000002384186","","","","0.85207998752594","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.40215970558185","6.84849977493286","","9.98258293998011","","","8.29784662183322","8.62584018707275","10.2197399139404","","","",
"Africa Western and Central","AFW","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.5942971522905","","","","","17.5823977147316","","30.2802325390869","","","32.8952407836914","31.9720897674561","","","","","","","","42.353458404541","","",
"Albania","ALB","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.0196075439453","","","","","","","90.0831604003906","94.447423680621","94.7323161245651","94.4313430786133","94.2600173950195","95.2394831686321","95.3306684010449","96.1328741348723","96.6357458269528","96.5901170922752","96.4497597921119","96.8478145738663","97.4953151895011","97.5423360665456","97.3871037639785","99.1386413574219","","",
"Andorra","AND","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.2057418823242","97.0882110595703","93.1352920532227","91.551628112793","","","","","","","","96.1495666503906","96.0746002197266","96.1199722290039","","","","","","98.701301574707","","","",
"Arab World","ARB","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.3644638061523","","","","","","","","","","","","85.7235794067383","87.6026077270508","90.7799377441406","","89.3598098754883","92.0723419189453","92.2326126098633","93.507698059082","",
"Argentina","ARG","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","48.5999984741211","","","","","","","","","","61.0999984741211","","","","","","","","","","","70.9646606445312","","","","","","81.1089739213142","","","","80.4473876953125","","89.4004821777344","","","","","","","","","","","","","","","","","","","89.0144271850586","","","",
