country_id,rights_improvement
ZAF,9
MOZ,9
ARE,9
SAU,8
SLE,7
NAM,7
LSO,7
PAN,6
PRY,6
CIV,6
MAR,6
EGY,5
BRA,5
BHR,5
HND,5
CAF,5
BDI,5
SLV,5
BEN,5
CYP,5
TGO,5
KOR,5
TUR,5
BWA,5
SVN,4
ECU,4
EST,4
PER,4
DEU,4
SVK,4
POL,4
NIC,4
LAO,4
MLT,4
GIN,4
MUS,4
KGZ,4
PRT,4
ZWE,4
MDV,4
ALB,4
CPV,4
PAK,4
LVA,4
BEL,4
DNK,4
AGO,4
BOL,4
SRB,4
MNE,4
RWA,4
LCA,4
MKD,4
MEX,4
CZE,4
FJI,4
KEN,4
ETH,3
MDG,3
TZA,3
VEN,3
HUN,3
IRL,3
BTN,3
VNM,3
LBN,3
LTU,3
PHL,3
SEN,3
ESP,3
GHA,3
BRB,3
HRV,3
GRC,3
LBR,3
NGA,3
AZE,3
MDA,3
SSD,3
MWI,3
IRQ,3
WSM,3
CMR,3
BGR,3
GEO,3
LUX,3
BHS,3
FIN,3
BFA,3
UKR,3
DZA,3
THA,3
COL,3
SWE,3
IDN,3
FRA,3
CHN,3
UGA,3
AFG,3
CHE,3
ISL,3
KIR,3
ITA,3
NER,3
MNG,3
TCD,3
CHL,2
GRD,2
NOR,2
STP,2
JOR,2
GBR,2
MLI,2
OMN,2
SGP,2
TUN,2
TTO,2
SYR,2
LKA,2
MHL,2
COM,2
NPL,2
IND,2
KHM,2
URY,2
BLZ,2
NLD,2
MYS,1
GTM,1
SDN,1
SUR,1
ARM,1
BGD,1
AUT,1
BIH,1
TJK,1
QAT,1
GMB,1
SYC,1
UZB,1
KAZ,1
KWT,1
DOM,1
ARG,1
HTI,0
PLW,0
ZMB,0
SWZ,0
SMR,0
PNG,0
IRN,0
MMR,0
SLB,0
CRI,0
TON,0
BRN,0
GUY,0
NZL,0
YEM,0
ATG,0
PRI,0
HKG,0
MRT,0
ISR,0
GNB,0
JAM,0
USA,0
AUS,0
BLR,0
JPN,0
COG,0
DMA,0
DJI,0
SOM,0
RUS,0
CAN,0
VUT,0
FSM,0
VCT,0
