"country_id","country_name","region","year_id","education_id","legal_country_id","legal_year","education_rate","gender_inequality_index","female_labor_participation","female_life_expectancy","gdp_growth"
,,,1990,1,,,80.5,,,75.242,
ECU,Ecuador,Latin America & Caribbean,1990,1,ECU,1990,77.2912368774414,0.648,46.947,71.398,3.67991405308877
JPN,Japan,High income: OECD,1990,1,JPN,1990,99.6679077148438,0.166,50.062,81.9,4.84092905699353
KOR,"Korea, Rep.",High income: OECD,1990,1,KOR,1990,82.6999969482422,0.314,47.207,75.9,10.0248996213899
MEX,Mexico,Latin America & Caribbean,1990,1,MEX,1990,49.6509284973145,0.552,33.981,72.025,5.25004329944582
MUS,Mauritius,Sub-Saharan Africa,1990,1,MUS,1990,32.0999984741211,0.53,37.994,73.4,7.18673677096029
NOR,Norway,High income: OECD,1990,1,NOR,1990,99.8121109008789,0.126,52.775,79.8,1.93229130670601
PAN,Panama,Latin America & Caribbean,1990,1,PAN,1990,66.5942916870117,0.539,32.404,74.312,8.09899300573224
SGP,Singapore,East Asia & Pacific,1990,1,SGP,1990,58.045711517334,0.258,44.094,77.6,9.82089955731777
ARG,Argentina,Latin America & Caribbean,1991,1,ARG,1991,70.9646606445312,0.452,44.64,75.344,9.13311056738961
BHR,Bahrain,Middle East & North Africa,1991,1,BHR,1991,35.7000007629395,,29.122,73.457,11.2299982766857
CAN,Canada,High income: OECD,1991,1,CAN,1991,94.9454498291016,0.187,57.826,80.81,-2.0910550979319
IDN,Indonesia,East Asia & Pacific,1991,1,IDN,1991,46.3692772265577,0.604,49.54,65.457,6.91198283591309
,,,1991,1,,,64.4758224487305,,46.142,78.744,3.65938964930415
MYS,Malaysia,East Asia & Pacific,1991,1,MYS,1991,54.5846663989741,0.388,35.941,73.682,9.54546741443052
NAM,Namibia,Sub-Saharan Africa,1991,1,NAM,1991,48.6779403686523,0.546,48.232,63.741,8.16561250262779
PRT,Portugal,High income: OECD,1991,1,PRT,1991,20.1437397003174,0.26,50.134,77.6,4.36820616663232
SVN,Slovenia,High income: OECD,1991,1,SVN,1991,44.8275909423828,0.278,51.747,77.4,-8.90010793013202
BEL,Belgium,High income: OECD,1992,1,BEL,1992,100.0,0.175,38.759,79.87,1.53065475142162
BGR,Bulgaria,Europe & Central Asia,1992,1,BGR,1992,78.9836502075195,0.356,44.605,75.09,-7.27238799030242
BOL,Bolivia,Latin America & Caribbean,1992,1,BOL,1992,43.4443511962891,,56.414,59.597,1.64649818317035
CHE,Switzerland,High income: OECD,1992,1,CHE,1992,99.806560468291,0.12,52.186,81.33,-0.0437330086271288
CYP,Cyprus,Europe & Central Asia,1992,1,CYP,1992,75.5755767822266,0.421,43.862,79.04,9.39999830664647
GRC,Greece,High income: OECD,1992,1,GRC,1992,79.1944245157322,0.285,34.554,80.2,0.700000337119789
IDN,Indonesia,East Asia & Pacific,1992,1,IDN,1992,46.2850860417233,0.596,50.38,65.93,6.49750651682714
IRL,Ireland,High income: OECD,1992,1,IRL,1992,100.0,0.218,42.888,78.288,3.34327412603812
ITA,Italy,High income: OECD,1992,1,ITA,1992,100.0,0.23,33.868,80.8,0.834275417393798
LUX,Luxembourg,High income: OECD,1992,1,LUX,1992,100.0,0.187,38.356,79.1,1.81965297334699
PRY,Paraguay,Latin America & Caribbean,1992,1,PRY,1992,45.9403190612793,0.603,50.964,69.962,1.69642801124701
BEL,Belgium,High income: OECD,1993,1,BEL,1993,100.0,0.167,39.461,79.9,-0.961873076923027
CAN,Canada,High income: OECD,1993,1,CAN,1993,85.1012937633829,0.184,57.009,80.86,2.65770691557481
CHE,Switzerland,High income: OECD,1993,1,CHE,1993,99.6911487117592,0.115,52.819,81.43,-0.125983460416222
DEU,Germany,High income: OECD,1993,1,DEU,1993,100.0,0.147,47.472,79.2,-0.973033082340891
FRA,France,High income: OECD,1993,1,FRA,1993,100.0,0.228,47.306,81.5,-0.35899781051468
GRC,Greece,High income: OECD,1993,1,GRC,1993,83.0709730004985,0.276,34.755,79.9,-1.60000002186294
IDN,Indonesia,East Asia & Pacific,1993,1,IDN,1993,48.6790550518122,0.583,49.426,66.661,6.49640812045304
IRL,Ireland,High income: OECD,1993,1,IRL,1993,100.0,0.204,44.307,78.161,2.69260841466448
ITA,Italy,High income: OECD,1993,1,ITA,1993,100.0,0.23,33.328,81.0,-0.852805731913904
LUX,Luxembourg,High income: OECD,1993,1,LUX,1993,100.0,0.185,37.047,79.4,4.20064695547975
BEL,Belgium,High income: OECD,1994,1,BEL,1994,100.0,0.16,40.04,80.19,3.22697145426247
CAN,Canada,High income: OECD,1994,1,CAN,1994,84.7497922477621,0.184,56.856,80.95,4.49404929532982
CHE,Switzerland,High income: OECD,1994,1,CHE,1994,99.7659772341602,0.11,51.951,81.71,1.26975779924055
DNK,Denmark,High income: OECD,1994,1,DNK,1994,100.0,0.095,57.918,78.1,5.29469615156448
FRA,France,High income: OECD,1994,1,FRA,1994,100.0,0.216,47.467,81.9,2.38366086110145
GRC,Greece,High income: OECD,1994,1,GRC,1994,82.566586077025,0.27,35.403,80.2,1.99999984724822
IDN,Indonesia,East Asia & Pacific,1994,1,IDN,1994,49.9283494772821,0.581,50.671,66.733,7.53997109551439
IND,India,South Asia,1994,1,IND,1994,22.2127369239366,0.702,30.736,61.041,6.65892407028434
IRL,Ireland,High income: OECD,1994,1,IRL,1994,100.0,0.197,45.28,78.658,5.75582797061618
ITA,Italy,High income: OECD,1994,1,ITA,1994,100.0,0.223,33.099,81.2,2.15102367074849
LUX,Luxembourg,High income: OECD,1994,1,LUX,1994,100.0,0.176,37.826,79.7,3.82092168668748
MAR,Morocco,Middle East & North Africa,1994,1,MAR,1994,11.5710459215603,0.75,23.8,65.983,10.5880004161286
USA,United States,High income: OECD,1994,1,USA,1994,99.41794720858,0.293,57.345,79.0,4.02902272983438
AUT,Austria,High income: OECD,1995,1,AUT,1995,100.0,0.163,48.714,80.1,2.66798388882503
BEL,Belgium,High income: OECD,1995,1,BEL,1995,100.0,0.157,40.424,80.38,2.38475724870135
BRA,Brazil,Latin America & Caribbean,1995,1,BRA,1995,64.8220147751764,0.543,48.916,70.947,4.2237936336472
CAN,Canada,High income: OECD,1995,1,CAN,1995,85.0794999884051,0.181,56.808,81.03,2.68232822733793
CHE,Switzerland,High income: OECD,1995,1,CHE,1995,99.579892377831,0.106,52.01,81.69,0.480866374676907
DEU,Germany,High income: OECD,1995,1,DEU,1995,100.0,0.134,47.834,79.7,1.50499384201356
DNK,Denmark,High income: OECD,1995,1,DNK,1995,100.0,0.094,57.908,77.83,3.03802150461165
FIN,Finland,High income: OECD,1995,1,FIN,1995,100.0,0.095,54.633,80.21,4.23436710187066
FRA,France,High income: OECD,1995,1,FRA,1995,100.0,0.207,47.775,81.9,2.30479278392259
