country,country_code,year,gdp_growth
Aruba,ABW,2015.0,3.61147995361162
Africa Eastern and Southern,AFE,2015.0,2.93402965863687
Afghanistan,AFG,2015.0,1.45131466066431
Africa Western and Central,AFW,2015.0,2.93286367242145
Angola,AGO,2015.0,0.763177710914789
Albania,ALB,2015.0,2.2277040745779
Andorra,AND,2015.0,1.43414039522716
Arab World,ARB,2015.0,3.35080366726505
United Arab Emirates,ARE,2015.0,7.08767348587587
Argentina,ARG,2015.0,2.73115982828944
Armenia,ARM,2015.0,3.19999999896625
American Samoa,ASM,2015.0,3.14960629921259
Antigua and Barbuda,ATG,2015.0,1.42161997595372
Australia,AUS,2015.0,2.16434780647852
Austria,AUT,2015.0,1.30352331826198
Azerbaijan,AZE,2015.0,1.04954641215085
Burundi,BDI,2015.0,-0.404525595204191
Belgium,BEL,2015.0,1.47416433731927
Benin,BEN,2015.0,1.77815106030278
Burkina Faso,BFA,2015.0,3.9212287937935
Bangladesh,BGD,2015.0,6.55263987816197
Bulgaria,BGR,2015.0,3.39755336780412
Bahrain,BHR,2015.0,2.50787205267615
"Bahamas, The",BHS,2015.0,0.997411675486745
Bosnia and Herzegovina,BIH,2015.0,4.28413016137854
Belarus,BLR,2015.0,-3.82957056812593
Belize,BLZ,2015.0,2.7602602736023
Bermuda,BMU,2015.0,0.775529699568978
Bolivia,BOL,2015.0,4.8571871797142
Brazil,BRA,2015.0,-3.54576339347278
Barbados,BRB,2015.0,-1.17048018967635
Brunei Darussalam,BRN,2015.0,-0.392383749502031
Bhutan,BTN,2015.0,6.66080128866197
Botswana,BWA,2015.0,-4.85132507409779
Central African Republic,CAF,2015.0,4.33712103020231
Canada,CAN,2015.0,0.649971001734855
Central Europe and the Baltics,CEB,2015.0,4.00166179134685
Switzerland,CHE,2015.0,1.64462750849488
Channel Islands,CHI,2015.0,0.374367083829384
Chile,CHL,2015.0,2.15194249981184
China,CHN,2015.0,6.97878002657477
Cote d'Ivoire,CIV,2015.0,7.19494942728191
Cameroon,CMR,2015.0,5.66695298703932
"Congo, Dem. Rep.",COD,2015.0,6.35973756164829
"Congo, Rep.",COG,2015.0,0.415193061293763
Colombia,COL,2015.0,2.95590137527523
Comoros,COM,2015.0,1.14747399397193
Cabo Verde,CPV,2015.0,0.936026507808833
Costa Rica,CRI,2015.0,3.65208096802883
Caribbean small states,CSS,2015.0,-0.100918343775831
Cuba,CUB,2015.0,4.4383335888395
Curacao,CUW,2015.0,0.45815174597594
Cayman Islands,CYM,2015.0,2.83312242670048
Cyprus,CYP,2015.0,3.41892038889013
Czechia,CZE,2015.0,4.95875848915604
Germany,DEU,2015.0,1.66300602334775
Djibouti,DJI,2015.0,7.30898563450799
Dominica,DMA,2015.0,-3.37338262476895
Denmark,DNK,2015.0,2.10441456445301
Dominican Republic,DOM,2015.0,6.98771131236387
Algeria,DZA,2015.0,3.20000000089023
East Asia & Pacific (excluding high income),EAP,2015.0,6.6614246586106
Early-demographic dividend,EAR,2015.0,4.24282022448061
East Asia & Pacific,EAS,2015.0,4.7187640804806
Europe & Central Asia (excluding high income),ECA,2015.0,3.4161267268946
Europe & Central Asia,ECS,2015.0,2.07593452180188
Ecuador,ECU,2015.0,0.119692109287612
"Egypt, Arab Rep.",EGY,2015.0,4.37201907790141
Euro area,EMU,2015.0,2.14365367393994
Spain,ESP,2015.0,4.06086672473866
Estonia,EST,2015.0,1.83815262882932
Ethiopia,ETH,2015.0,10.3924630141307
European Union,EUU,2015.0,2.3719530456017
Fragile and conflict affected situations,FCS,2015.0,0.167306320259826
Finland,FIN,2015.0,0.466503766322674
Fiji,FJI,2015.0,4.50120041028725
France,FRA,2015.0,1.06675474783462
Faroe Islands,FRO,2015.0,0.958001934486234
"Micronesia, Fed. Sts.",FSM,2015.0,4.43363849623874
Gabon,GAB,2015.0,3.8788993950789
United Kingdom,GBR,2015.0,2.14040560033371
Georgia,GEO,2015.0,3.35102350265353
Ghana,GHA,2015.0,2.12075933817334
Guinea,GIN,2015.0,3.82591056949435
"Gambia, The",GMB,2015.0,4.0580738039996
Guinea-Bissau,GNB,2015.0,6.1340893623123
Equatorial Guinea,GNQ,2015.0,-9.11004114881537
Greece,GRC,2015.0,-0.228301892172851
Grenada,GRD,2015.0,6.44522314693144
Greenland,GRL,2015.0,-2.52931802394475
Guatemala,GTM,2015.0,4.09217081621244
Guam,GUM,2015.0,0.825688073394488
Guyana,GUY,2015.0,0.687404590619494
High income,HIC,2015.0,2.34425804200286
"Hong Kong SAR, China",HKG,2015.0,2.38777942738729
Honduras,HND,2015.0,3.84007997093951
Heavily indebted poor countries (HIPC),HPC,2015.0,4.90684629199932
Croatia,HRV,2015.0,2.31998692708386
Haiti,HTI,2015.0,1.40000000859727
Hungary,HUN,2015.0,3.65981615406955
IBRD only,IBD,2015.0,4.31724520804929
IDA & IBRD total,IBT,2015.0,4.24855788281909
IDA total,IDA,2015.0,3.43306198935962
IDA blend,IDB,2015.0,3.83520190776083
Indonesia,IDN,2015.0,4.87632230022123
IDA only,IDX,2015.0,3.01768618246332
Isle of Man,IMN,2015.0,-0.385866882198087
India,IND,2015.0,7.99625378571471
Ireland,IRL,2015.0,24.6239856364006
"Iran, Islamic Rep.",IRN,2015.0,-1.42488493937503
Iraq,IRQ,2015.0,2.60676642939541
Iceland,ISL,2015.0,3.76859023848581
Israel,ISR,2015.0,2.23760317482488
Italy,ITA,2015.0,0.885667635240807
Jamaica,JAM,2015.0,0.92148712399856
Jordan,JOR,2015.0,2.49652879315188
Japan,JPN,2015.0,1.56062669680782
Kazakhstan,KAZ,2015.0,1.20000000053288
Kenya,KEN,2015.0,4.96772112759767
Kyrgyz Republic,KGZ,2015.0,3.87582544512439
Cambodia,KHM,2015.0,7.20703472529512
Kiribati,KIR,2015.0,11.2653312371772
St. Kitts and Nevis,KNA,2015.0,0.694135527876625
"Korea, Rep.",KOR,2015.0,2.92029267301234
Kuwait,KWT,2015.0,0.592770817217982
Latin America & Caribbean (excluding high income),LAC,2015.0,0.252853446703966
Lao PDR,LAO,2015.0,7.27006584373785
Lebanon,LBN,2015.0,0.462320792597581
Liberia,LBR,2015.0,-0.0185649695590939
Libya,LBY,2015.0,-0.842656252118843
St. Lucia,LCA,2015.0,0.101917836412952
Latin America & Caribbean,LCN,2015.0,0.238232860625814
Least developed countries: UN classification,LDC,2015.0,2.75062771857755
Low income,LIC,2015.0,-2.06294694087138
Sri Lanka,LKA,2015.0,4.20595547449241
Lower middle income,LMC,2015.0,5.91703922812876
Low & middle income,LMY,2015.0,4.69423819182255
Lesotho,LSO,2015.0,3.12406678044546
Late-demographic dividend,LTE,2015.0,4.70788934981915
Lithuania,LTU,2015.0,2.83280643343234
Luxembourg,LUX,2015.0,2.26978423302835
Latvia,LVA,2015.0,3.78336712084972
"Macao SAR, China",MAC,2015.0,-21.7540078753246
St. Martin (French part),MAF,2015.0,1.0
Morocco,MAR,2015.0,4.34458297635238
Monaco,MCO,2015.0,4.91037176536236
Moldova,MDA,2015.0,-0.338235622387202
Madagascar,MDG,2015.0,3.13229807490305
Maldives,MDV,2015.0,3.86813536494475
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2015.0,2.77016552351637
Mexico,MEX,2015.0,2.70232342550646
Marshall Islands,MHL,2015.0,1.88574597892401
Middle income,MIC,2015.0,4.79323569638039
North Macedonia,MKD,2015.0,3.85586514041738
