country,country_code,year,female_labor_force_participation_rate
Africa Eastern and Southern,AFE,2015.0,63.1971810737597
Afghanistan,AFG,2015.0,19.113
Africa Western and Central,AFW,2015.0,66.7249556679014
Angola,AGO,2015.0,73.933
Albania,ALB,2015.0,47.117
Arab World,ARB,2015.0,20.681454301284
United Arab Emirates,ARE,2015.0,48.183
Argentina,ARG,2015.0,47.498
Armenia,ARM,2015.0,53.826
Australia,AUS,2015.0,59.151
Austria,AUT,2015.0,54.827
Azerbaijan,AZE,2015.0,61.096
Burundi,BDI,2015.0,80.778
Belgium,BEL,2015.0,48.045
Benin,BEN,2015.0,72.007
Burkina Faso,BFA,2015.0,73.531
Bangladesh,BGD,2015.0,33.531
Bulgaria,BGR,2015.0,48.725
Bahrain,BHR,2015.0,43.369
"Bahamas, The",BHS,2015.0,70.291
Bosnia and Herzegovina,BIH,2015.0,38.824
Belarus,BLR,2015.0,58.668
Belize,BLZ,2015.0,48.253
Bolivia,BOL,2015.0,57.044
Brazil,BRA,2015.0,53.323
Barbados,BRB,2015.0,61.731
Brunei Darussalam,BRN,2015.0,57.383
Bhutan,BTN,2015.0,54.976
Botswana,BWA,2015.0,56.288
Central African Republic,CAF,2015.0,65.301
Canada,CAN,2015.0,60.969
Central Europe and the Baltics,CEB,2015.0,48.7086259720424
Switzerland,CHE,2015.0,62.36
Channel Islands,CHI,2015.0,51.239
Chile,CHL,2015.0,50.352
China,CHN,2015.0,62.605
Cote d'Ivoire,CIV,2015.0,59.228
Cameroon,CMR,2015.0,65.628
"Congo, Dem. Rep.",COD,2015.0,61.84
"Congo, Rep.",COG,2015.0,66.526
Colombia,COL,2015.0,55.255
Comoros,COM,2015.0,34.778
Cabo Verde,CPV,2015.0,51.843
Costa Rica,CRI,2015.0,50.06
Caribbean small states,CSS,2015.0,52.1720265690208
Cuba,CUB,2015.0,44.31
Cyprus,CYP,2015.0,59.097
Czechia,CZE,2015.0,51.187
Germany,DEU,2015.0,54.441
Djibouti,DJI,2015.0,17.785
Denmark,DNK,2015.0,56.837
Dominican Republic,DOM,2015.0,48.157
Algeria,DZA,2015.0,15.258
East Asia & Pacific (excluding high income),EAP,2015.0,60.7490886000682
Early-demographic dividend,EAR,2015.0,34.4715926647993
East Asia & Pacific,EAS,2015.0,59.6916484323044
Europe & Central Asia (excluding high income),ECA,2015.0,43.8770259708606
Europe & Central Asia,ECS,2015.0,50.2465494617249
Ecuador,ECU,2015.0,51.905
"Egypt, Arab Rep.",EGY,2015.0,22.813
Euro area,EMU,2015.0,50.4602794589774
Eritrea,ERI,2015.0,73.372
Spain,ESP,2015.0,52.62
Estonia,EST,2015.0,55.747
Ethiopia,ETH,2015.0,70.185
European Union,EUU,2015.0,50.2881483598504
Fragile and conflict affected situations,FCS,2015.0,54.6689169803174
Finland,FIN,2015.0,55.407
Fiji,FJI,2015.0,40.016
France,FRA,2015.0,50.957
Gabon,GAB,2015.0,41.453
United Kingdom,GBR,2015.0,56.722
Georgia,GEO,2015.0,58.678
Ghana,GHA,2015.0,65.049
Guinea,GIN,2015.0,47.185
"Gambia, The",GMB,2015.0,44.465
Guinea-Bissau,GNB,2015.0,56.11
Equatorial Guinea,GNQ,2015.0,53.596
Greece,GRC,2015.0,44.028
Guatemala,GTM,2015.0,38.437
Guam,GUM,2015.0,56.338
Guyana,GUY,2015.0,42.273
High income,HIC,2015.0,52.7562000694467
"Hong Kong SAR, China",HKG,2015.0,54.211
Honduras,HND,2015.0,46.551
Heavily indebted poor countries (HIPC),HPC,2015.0,60.3311448017554
Croatia,HRV,2015.0,46.662
Haiti,HTI,2015.0,61.695
Hungary,HUN,2015.0,49.901
IBRD only,IBD,2015.0,46.7361978430806
IDA & IBRD total,IBT,2015.0,47.558406060518
IDA total,IDA,2015.0,50.5629430747717
IDA blend,IDB,2015.0,50.469711393102
Indonesia,IDN,2015.0,50.772
IDA only,IDX,2015.0,50.6120498479123
India,IND,2015.0,26.582
Ireland,IRL,2015.0,54.809
"Iran, Islamic Rep.",IRN,2015.0,14.362
Iraq,IRQ,2015.0,14.178
Iceland,ISL,2015.0,72.787
Israel,ISR,2015.0,60.114
Italy,ITA,2015.0,39.391
Jamaica,JAM,2015.0,58.524
