country,country_code,year,female_life_expectancy
Aruba,ABW,2015.0,78.139
Africa Eastern and Southern,AFE,2015.0,64.0634784185112
Afghanistan,AFG,2015.0,64.178
Africa Western and Central,AFW,2015.0,56.9951946399414
Angola,AGO,2015.0,63.412
Albania,ALB,2015.0,80.451
Andorra,AND,2015.0,86.584
Arab World,ARB,2015.0,72.8191746104877
United Arab Emirates,ARE,2015.0,83.328
Argentina,ARG,2015.0,79.795
Armenia,ARM,2015.0,78.2
American Samoa,ASM,2015.0,75.268
Antigua and Barbuda,ATG,2015.0,79.973
Australia,AUS,2015.0,84.5
Austria,AUT,2015.0,83.7
Azerbaijan,AZE,2015.0,75.344
Burundi,BDI,2015.0,61.874
Belgium,BEL,2015.0,83.4
Benin,BEN,2015.0,60.096
Burkina Faso,BFA,2015.0,60.364
Bangladesh,BGD,2015.0,72.597
Bulgaria,BGR,2015.0,78.2
Bahrain,BHR,2015.0,81.344
"Bahamas, The",BHS,2015.0,77.443
Bosnia and Herzegovina,BIH,2015.0,80.177
Belarus,BLR,2015.0,78.9
Belize,BLZ,2015.0,74.803
Bermuda,BMU,2015.0,84.543
Bolivia,BOL,2015.0,69.552
Brazil,BRA,2015.0,78.472
Barbados,BRB,2015.0,78.157
Brunei Darussalam,BRN,2015.0,77.124
Bhutan,BTN,2015.0,72.487
Botswana,BWA,2015.0,65.183
Central African Republic,CAF,2015.0,54.187
Canada,CAN,2015.0,83.89
Central Europe and the Baltics,CEB,2015.0,80.3754371805634
Switzerland,CHE,2015.0,85.1
Channel Islands,CHI,2015.0,83.6
Chile,CHL,2015.0,82.297
China,CHN,2015.0,79.785
Cote d'Ivoire,CIV,2015.0,60.022
Cameroon,CMR,2015.0,61.658
"Congo, Dem. Rep.",COD,2015.0,60.397
"Congo, Rep.",COG,2015.0,65.133
Colombia,COL,2015.0,78.988
Comoros,COM,2015.0,66.349
Cabo Verde,CPV,2015.0,77.616
Costa Rica,CRI,2015.0,83.28
Caribbean small states,CSS,2015.0,75.1124885418905
Cuba,CUB,2015.0,79.986
Curacao,CUW,2015.0,80.337
Cayman Islands,CYM,2015.0,80.627
Cyprus,CYP,2015.0,83.855
Czechia,CZE,2015.0,81.6
Germany,DEU,2015.0,83.1
Djibouti,DJI,2015.0,65.313
Dominica,DMA,2015.0,72.395
Denmark,DNK,2015.0,82.7
Dominican Republic,DOM,2015.0,76.376
Algeria,DZA,2015.0,76.377
East Asia & Pacific (excluding high income),EAP,2015.0,77.7726289288201
Early-demographic dividend,EAR,2015.0,71.7546534524729
East Asia & Pacific,EAS,2015.0,78.6628110241074
Europe & Central Asia (excluding high income),ECA,2015.0,77.3605279914515
Europe & Central Asia,ECS,2015.0,80.710332292523
Ecuador,ECU,2015.0,78.621
"Egypt, Arab Rep.",EGY,2015.0,72.518
Euro area,EMU,2015.0,84.2418605070411
Eritrea,ERI,2015.0,67.897
Spain,ESP,2015.0,85.7
Estonia,EST,2015.0,82.2
Ethiopia,ETH,2015.0,66.353
European Union,EUU,2015.0,83.4620337197235
Fragile and conflict affected situations,FCS,2015.0,62.9482096575272
Finland,FIN,2015.0,84.4
Fiji,FJI,2015.0,69.003
France,FRA,2015.0,85.6
Faroe Islands,FRO,2015.0,84.1685
"Micronesia, Fed. Sts.",FSM,2015.0,68.255
Gabon,GAB,2015.0,68.653
United Kingdom,GBR,2015.0,82.8
Georgia,GEO,2015.0,77.855
