country,country_code,year,school_enrollment_secondary_female_rate
Africa Eastern and Southern,AFE,2015.0,39.6892509460449
Afghanistan,AFG,2015.0,37.8227882385254
Africa Western and Central,AFW,2015.0,40.3699607849121
Albania,ALB,2015.0,99.0993228142471
Andorra,AND,2015.0,90.8539199829102
Arab World,ARB,2015.0,64.5253677368164
Argentina,ARG,2015.0,111.491546630859
Armenia,ARM,2015.0,86.1423797607422
Antigua and Barbuda,ATG,2015.0,119.018043518066
Australia,AUS,2015.0,147.584396362305
Austria,AUT,2015.0,99.7147521972656
Burundi,BDI,2015.0,42.5848131340896
Belgium,BEL,2015.0,174.837173461914
Benin,BEN,2015.0,46.0378799438477
Burkina Faso,BFA,2015.0,31.3499100869596
Bangladesh,BGD,2015.0,62.5832710266113
Bulgaria,BGR,2015.0,101.624610900879
Bahrain,BHR,2015.0,100.792652804599
"Bahamas, The",BHS,2015.0,77.0907578997387
Bosnia and Herzegovina,BIH,2015.0,87.665657043457
Belarus,BLR,2015.0,102.211121335612
Belize,BLZ,2015.0,82.8789389276581
Bermuda,BMU,2015.0,92.7939910888672
Bolivia,BOL,2015.0,89.9740673277194
Brazil,BRA,2015.0,103.670433044434
Barbados,BRB,2015.0,109.521759033203
Brunei Darussalam,BRN,2015.0,95.8460998535156
Bhutan,BTN,2015.0,92.4895401000977
Canada,CAN,2015.0,112.104141235352
Central Europe and the Baltics,CEB,2015.0,101.608428955078
Switzerland,CHE,2015.0,102.201698303223
Chile,CHL,2015.0,101.253883361816
Cote d'Ivoire,CIV,2015.0,37.982068610823
Cameroon,CMR,2015.0,55.5473133749889
"Congo, Dem. Rep.",COD,2015.0,32.7438697814941
Colombia,COL,2015.0,101.232261657715
Cabo Verde,CPV,2015.0,105.428949752596
Costa Rica,CRI,2015.0,117.688652038574
Caribbean small states,CSS,2015.0,89.8365783691406
Cuba,CUB,2015.0,97.5443944674153
Cyprus,CYP,2015.0,99.2361526489258
Czechia,CZE,2015.0,105.372566223145
Germany,DEU,2015.0,99.435302734375
Dominica,DMA,2015.0,92.5211486816406
Denmark,DNK,2015.0,136.163803100586
Dominican Republic,DOM,2015.0,83.8323050910617
East Asia & Pacific (excluding high income),EAP,2015.0,86.6689224243164
Early-demographic dividend,EAR,2015.0,71.9440231323242
East Asia & Pacific,EAS,2015.0,88.283332824707
Europe & Central Asia (excluding high income),ECA,2015.0,98.3324584960938
Europe & Central Asia,ECS,2015.0,104.293327331543
Ecuador,ECU,2015.0,102.632553100586
Euro area,EMU,2015.0,107.714622497559
Eritrea,ERI,2015.0,41.9455795288086
Spain,ESP,2015.0,125.209602355957
Estonia,EST,2015.0,108.522552490234
Ethiopia,ETH,2015.0,33.3210265952712
European Union,EUU,2015.0,107.710403442383
Fragile and conflict affected situations,FCS,2015.0,41.4105987548828
Finland,FIN,2015.0,157.990310668945
Fiji,FJI,2015.0,89.4052671769281
France,FRA,2015.0,103.941093444824
United Kingdom,GBR,2015.0,128.079116821289
Georgia,GEO,2015.0,104.703674077125
Ghana,GHA,2015.0,64.5307806759859
Greece,GRC,2015.0,99.8590774536133
Grenada,GRD,2015.0,105.264378478664
Guatemala,GTM,2015.0,52.866427490626
High income,HIC,2015.0,104.697738647461
"Hong Kong SAR, China",HKG,2015.0,105.413190529876
Honduras,HND,2015.0,55.1216519478842
Heavily indebted poor countries (HIPC),HPC,2015.0,36.3251991271973
Croatia,HRV,2015.0,104.907768249512
Hungary,HUN,2015.0,104.925148010254
IBRD only,IBD,2015.0,84.4134674072266
IDA & IBRD total,IBT,2015.0,70.6143493652344
IDA total,IDA,2015.0,43.1467514038086
IDA blend,IDB,2015.0,41.6168518066406
Indonesia,IDN,2015.0,88.012649448813
IDA only,IDX,2015.0,43.8637504577637
India,IND,2015.0,74.3924407958984
Ireland,IRL,2015.0,118.652038574219
"Iran, Islamic Rep.",IRN,2015.0,80.8046798706055
Iceland,ISL,2015.0,120.264518737793
Israel,ISR,2015.0,98.7219314575195
Italy,ITA,2015.0,100.56990814209
Jamaica,JAM,2015.0,87.8180659010758
Japan,JPN,2015.0,101.829078674316
Kazakhstan,KAZ,2015.0,99.2999761450382
Kenya,KEN,2015.0,70.187444140127
Kyrgyz Republic,KGZ,2015.0,89.3803392348644
St. Kitts and Nevis,KNA,2015.0,115.620048522949
"Korea, Rep.",KOR,2015.0,98.3732299804688
Kuwait,KWT,2015.0,99.7793273925781
Latin America & Caribbean (excluding high income),LAC,2015.0,97.8051376342773
Lao PDR,LAO,2015.0,59.772232688381
Lebanon,LBN,2015.0,60.3778897955521
Liberia,LBR,2015.0,31.3665904998779
St. Lucia,LCA,2015.0,91.9546737670898
Latin America & Caribbean,LCN,2015.0,97.6465072631836
Least developed countries: UN classification,LDC,2015.0,41.3441314697266
Low income,LIC,2015.0,34.0883712768555
Liechtenstein,LIE,2015.0,101.72176361084
