country,country_code,region,income_group,year,WBL INDEX,can_choose_residence,can_travel_domestic,can_apply_passport,can_travel_abroad,get_job,no_gender_discrimination_employment,sexual_harassment_legislation,sexual_harassment_penalties,no_gender_discrimination_credit,can_sign_contract,can_register_business,can_open_bank_account
Afghanistan,AFG,South Asia,Low income,2015,28.8,0,0,0,1,1,0,0,0,0,1,1,1
Afghanistan,AFG,South Asia,Low income,2016,28.8,0,0,0,1,1,0,0,0,0,1,1,1
Afghanistan,AFG,South Asia,Low income,2017,38.1,0,0,1,1,1,0,1,1,0,1,1,1
Afghanistan,AFG,South Asia,Low income,2018,38.1,0,0,1,1,1,0,1,1,0,1,1,1
Afghanistan,AFG,South Asia,Low income,2019,38.1,0,0,1,1,1,0,1,1,0,1,1,1
Afghanistan,AFG,South Asia,Low income,2020,38.1,0,0,1,1,1,0,1,1,0,1,1,1
Afghanistan,AFG,South Asia,Low income,2021,38.1,0,0,1,1,1,0,1,1,0,1,1,1
Afghanistan,AFG,South Asia,Low income,2022,38.1,0,0,1,1,1,0,1,1,0,1,1,1
Afghanistan,AFG,South Asia,Low income,2023,31.9,0,0,1,0,0,0,1,1,0,1,1,1
Afghanistan,AFG,South Asia,Low income,2024,31.9,0,0,1,0,0,0,1,1,0,1,1,1
Albania,ALB,Europe & Central Asia,Upper middle income,2015,85.6,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,Europe & Central Asia,Upper middle income,2016,85.6,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,Europe & Central Asia,Upper middle income,2017,91.3,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,Europe & Central Asia,Upper middle income,2018,91.3,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,Europe & Central Asia,Upper middle income,2019,91.3,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,Europe & Central Asia,Upper middle income,2020,91.3,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,Europe & Central Asia,Upper middle income,2021,91.3,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,Europe & Central Asia,Upper middle income,2022,91.3,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,Europe & Central Asia,Upper middle income,2023,91.3,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,Europe & Central Asia,Upper middle income,2024,91.3,1,1,1,1,1,1,1,1,1,1,1,1
Algeria,DZA,Middle East & North Africa,Lower middle income,2015,55.0,1,1,0,1,1,0,1,1,0,1,1,1
Algeria,DZA,Middle East & North Africa,Lower middle income,2016,55.0,1,1,0,1,1,0,1,1,0,1,1,1
Algeria,DZA,Middle East & North Africa,Lower middle income,2017,57.5,1,1,0,1,1,0,1,1,0,1,1,1
Algeria,DZA,Middle East & North Africa,Lower middle income,2018,57.5,1,1,0,1,1,0,1,1,0,1,1,1
Algeria,DZA,Middle East & North Africa,Lower middle income,2019,57.5,1,1,0,1,1,0,1,1,0,1,1,1
Algeria,DZA,Middle East & North Africa,Lower middle income,2020,57.5,1,1,0,1,1,0,1,1,0,1,1,1
Algeria,DZA,Middle East & North Africa,Lower middle income,2021,57.5,1,1,0,1,1,0,1,1,0,1,1,1
Algeria,DZA,Middle East & North Africa,Lower middle income,2022,57.5,1,1,0,1,1,0,1,1,0,1,1,1
Algeria,DZA,Middle East & North Africa,Lower middle income,2023,57.5,1,1,0,1,1,0,1,1,0,1,1,1
Algeria,DZA,Middle East & North Africa,Lower middle income,2024,57.5,1,1,0,1,1,0,1,1,0,1,1,1
Angola,AGO,Sub-Saharan Africa,Lower middle income,2015,70.6,1,1,1,1,1,1,0,0,1,1,1,1
Angola,AGO,Sub-Saharan Africa,Lower middle income,2016,70.6,1,1,1,1,1,1,0,0,1,1,1,1
Angola,AGO,Sub-Saharan Africa,Lower middle income,2017,73.1,1,1,1,1,1,1,0,0,1,1,1,1
Angola,AGO,Sub-Saharan Africa,Lower middle income,2018,73.1,1,1,1,1,1,1,0,0,1,1,1,1
Angola,AGO,Sub-Saharan Africa,Lower middle income,2019,73.1,1,1,1,1,1,1,0,0,1,1,1,1
Angola,AGO,Sub-Saharan Africa,Lower middle income,2020,73.1,1,1,1,1,1,1,0,0,1,1,1,1
