country,country_code,year,school_completion_primary_female_rate
American Samoa,ASM,1990.0,80.5
Ecuador,ECU,1990.0,77.2912368774414
Japan,JPN,1990.0,99.6679077148438
"Korea, Rep.",KOR,1990.0,82.6999969482422
Mexico,MEX,1990.0,49.6509284973145
Mauritius,MUS,1990.0,32.0999984741211
Norway,NOR,1990.0,99.8121109008789
Panama,PAN,1990.0,66.5942916870117
Singapore,SGP,1990.0,58.045711517334
Argentina,ARG,1991.0,70.9646606445312
Bahrain,BHR,1991.0,35.7000007629395
Canada,CAN,1991.0,94.9454498291016
Indonesia,IDN,1991.0,46.3692772265577
"Macao SAR, China",MAC,1991.0,64.4758224487305
Malaysia,MYS,1991.0,54.5846663989741
Namibia,NAM,1991.0,48.6779403686523
Portugal,PRT,1991.0,20.1437397003174
Slovenia,SVN,1991.0,44.8275909423828
Belgium,BEL,1992.0,100.0
Bulgaria,BGR,1992.0,78.9836502075195
Bolivia,BOL,1992.0,43.4443511962891
Switzerland,CHE,1992.0,99.806560468291
Cyprus,CYP,1992.0,75.5755767822266
Greece,GRC,1992.0,79.1944245157322
Indonesia,IDN,1992.0,46.2850860417233
Ireland,IRL,1992.0,100.0
Italy,ITA,1992.0,100.0
Luxembourg,LUX,1992.0,100.0
Paraguay,PRY,1992.0,45.9403190612793
Belgium,BEL,1993.0,100.0
Canada,CAN,1993.0,85.1012937633829
Switzerland,CHE,1993.0,99.6911487117592
Germany,DEU,1993.0,100.0
France,FRA,1993.0,100.0
Greece,GRC,1993.0,83.0709730004985
Indonesia,IDN,1993.0,48.6790550518122
Ireland,IRL,1993.0,100.0
Italy,ITA,1993.0,100.0
Luxembourg,LUX,1993.0,100.0
Belgium,BEL,1994.0,100.0
Canada,CAN,1994.0,84.7497922477621
Switzerland,CHE,1994.0,99.7659772341602
Denmark,DNK,1994.0,100.0
France,FRA,1994.0,100.0
Greece,GRC,1994.0,82.566586077025
Indonesia,IDN,1994.0,49.9283494772821
India,IND,1994.0,22.2127369239366
Ireland,IRL,1994.0,100.0
Italy,ITA,1994.0,100.0
Luxembourg,LUX,1994.0,100.0
Morocco,MAR,1994.0,11.5710459215603
United States,USA,1994.0,99.41794720858
Austria,AUT,1995.0,100.0
Belgium,BEL,1995.0,100.0
Brazil,BRA,1995.0,64.8220147751764
Canada,CAN,1995.0,85.0794999884051
Switzerland,CHE,1995.0,99.579892377831
Germany,DEU,1995.0,100.0
Denmark,DNK,1995.0,100.0
Finland,FIN,1995.0,100.0
France,FRA,1995.0,100.0
Greece,GRC,1995.0,83.3852709758851
Ireland,IRL,1995.0,100.0
Italy,ITA,1995.0,100.0
"Korea, Rep.",KOR,1995.0,84.1190567016602
Luxembourg,LUX,1995.0,100.0
Singapore,SGP,1995.0,68.8401565551758
Sweden,SWE,1995.0,100.0
Turkmenistan,TKM,1995.0,95.1110076904297
United States,USA,1995.0,99.4459762294188
Austria,AUT,1996.0,100.0
Belgium,BEL,1996.0,100.0
Brazil,BRA,1996.0,66.120564390116
Canada,CAN,1996.0,85.6327669875767
Switzerland,CHE,1996.0,100.0
